,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude,date_norm
279,mlonggo,78.69,80,100,2.66,1646700869,ID,110.7,-6.5333,3/8/2022
280,bilma,81.43,11,85,2.44,1646700869,NE,12.9164,18.6853,3/8/2022
281,banda aceh,79.97,78,100,2.75,1646700870,ID,95.3222,5.5577,3/8/2022
282,tessalit,61.48,18,0,8.79,1646700870,ML,1.0114,20.1986,3/8/2022
283,makakilo city,77.16,63,100,9.22,1646700870,US,-158.0858,21.3469,3/8/2022
284,nizhnyaya tura,-14.71,100,97,2.24,1646700870,RU,59.8118,58.6293,3/8/2022
285,guerrero negro,61.45,59,0,16.89,1646700716,MX,-114.0611,27.9769,3/8/2022
286,alyangula,85.87,84,75,8.05,1646700871,AU,136.4192,-13.8483,3/8/2022
287,torres,75.83,95,100,6.85,1646700871,BR,-49.7269,-29.3353,3/8/2022
288,terrace,46.31,65,75,2.3,1646700871,CA,-128.6035,54.5163,3/8/2022
289,yulara,75.04,33,0,14.97,1646700872,AU,130.9889,-25.2406,3/8/2022
290,bannu,59.49,68,100,3.67,1646700872,PK,70.6027,32.9854,3/8/2022
291,mae sai,69.04,84,27,1.3,1646700872,TH,99.8762,20.4335,3/8/2022
292,leningradskiy,11.37,92,84,5.77,1646700872,RU,178.4167,69.3833,3/8/2022
293,dodoma,64.63,93,41,2.62,1646700873,TZ,35.7395,-6.1722,3/8/2022
294,san felipe,69.58,95,96,5.01,1646700873,VE,-68.7425,10.3399,3/8/2022
295,joensuu,5.49,78,0,6.91,1646700873,FI,29.7632,62.6012,3/8/2022
296,vila do maio,70.59,71,23,20.87,1646700873,CV,-23.2167,15.1333,3/8/2022
297,umm lajj,70.83,83,100,5.97,1646700874,SA,37.2685,25.0213,3/8/2022
298,knysna,68.38,94,98,2.93,1646700874,ZA,23.0471,-34.0363,3/8/2022
299,hirado,43.95,50,0,2.84,1646700874,JP,129.5531,33.3597,3/8/2022
300,kangaatsiaq,6.94,95,100,4.23,1646700875,GL,-53.4641,68.3065,3/8/2022
301,warmbad,78.22,47,0,5.95,1646700875,NA,18.7333,-28.45,3/8/2022
302,yumen,41.88,27,100,6.42,1646700875,CN,97.2,40.2833,3/8/2022
303,bandarbeyla,74.5,71,1,8.21,1646700875,SO,50.8122,9.4942,3/8/2022
304,andros town,76.96,82,0,15.79,1646700876,BS,-77.7667,24.7,3/8/2022
305,lufilufi,91.18,79,100,11.41,1646700876,WS,-171.5986,-13.8745,3/8/2022
306,inta,-30.23,100,100,2.46,1646700876,RU,60.1659,66.0317,3/8/2022
307,malanje,63.14,94,100,2.33,1646700877,AO,16.341,-9.5402,3/8/2022
308,ketchikan,42.78,81,100,3.42,1646700877,US,-131.6461,55.3422,3/8/2022
309,tiksi,-17.05,100,100,4.09,1646700877,RU,128.8694,71.6872,3/8/2022
